id,topic,difficulty,pdf_path,test_case_1,test_case_2,test_case_3,,,,,
11,Linked Lists,Easy,challenges/delete-a-node-from-a-linked-list/delete-a-node-from-a-linked-list.pdf,challenges/delete-a-node-from-a-linked-list/input/input00.txt : challenges/delete-a-node-from-a-linked-list/output/output00.txt , challenges/delete-a-node-from-a-linked-list/input/input01.txt : challenges/delete-a-node-from-a-linked-list/output/output01.txt,,,,,,
12,Linked Lists,Easy,challenges/print-the-elements-of-a-linked-list-in-reverse/print-the-elements-of-a-linked-list-in-reverse.pdf,challenges/print-the-elements-of-a-linked-list-in-reverse/input/input00.txt : challenges/print-the-elements-of-a-linked-list-in-reverse/output/output00.txt , challenges/print-the-elements-of-a-linked-list-in-reverse/input/input01.txt : challenges/print-the-elements-of-a-linked-list-in-reverse/output/output01.txt,,,,,,
13,Linked Lists,Easy,challenges/reverse-a-linked-list/reverse-a-linked-list.pdf,challenges/reverse-a-linked-list/input/input00.txt : challenges/reverse-a-linked-list/output/output00.txt , challenges/reverse-a-linked-list/input/input01.txt : challenges/reverse-a-linked-list/output/output01.txt,,,,,,
14,Linked Lists,Easy,challenges/compare-two-linked-lists/compare-two-linked-lists.pdf,challenges/compare-two-linked-lists/input/input00.txt : challenges/compare-two-linked-lists/output/output00.txt , challenges/compare-two-linked-lists/input/input01.txt : challenges/compare-two-linked-lists/output/output01.txt,,,,,,
15,Linked Lists,Easy,challenges/merge-two-sorted-linked-lists/merge-two-sorted-linked-lists.pdf,challenges/merge-two-sorted-linked-lists/input/input00.txt : challenges/merge-two-sorted-linked-lists/output/output00.txt , challenges/merge-two-sorted-linked-lists/input/input01.txt : challenges/merge-two-sorted-linked-lists/output/output01.txt,,,,,,
16,Linked Lists,Easy,challenges/get-the-value-of-the-node-at-a-specific-position-from-the-tail/get-the-value-of-the-node-at-a-specific-position-from-the-tail.pdf,challenges/get-the-value-of-the-node-at-a-specific-position-from-the-tail/input/input00.txt : challenges/get-the-value-of-the-node-at-a-specific-position-from-the-tail/output/output00.txt , challenges/get-the-value-of-the-node-at-a-specific-position-from-the-tail/input/input01.txt : challenges/get-the-value-of-the-node-at-a-specific-position-from-the-tail/output/output01.txt,,,,,,
17,Linked Lists,Easy,challenges/delete-duplicate-value-nodes-from-a-sorted-linked-list/delete-duplicate-value-nodes-from-a-sorted-linked-list.pdf,challenges/delete-duplicate-value-nodes-from-a-sorted-linked-list/input/input00.txt : challenges/delete-duplicate-value-nodes-from-a-sorted-linked-list/output/output00.txt , challenges/delete-duplicate-value-nodes-from-a-sorted-linked-list/input/input01.txt : challenges/delete-duplicate-value-nodes-from-a-sorted-linked-list/output/output01.txt,,,,,,
18,Linked Lists,Medium,challenges/detect-whether-a-linked-list-contains-a-cycle/detect-whether-a-linked-list-contains-a-cycle.pdf,challenges/detect-whether-a-linked-list-contains-a-cycle/input/input00.txt : challenges/detect-whether-a-linked-list-contains-a-cycle/output/output00.txt , challenges/detect-whether-a-linked-list-contains-a-cycle/input/input01.txt : challenges/detect-whether-a-linked-list-contains-a-cycle/output/output01.txt,,,,,,
19,Linked Lists,Easy,challenges/find-the-merge-point-of-two-joined-linked-lists/find-the-merge-point-of-two-joined-linked-lists.pdf,challenges/find-the-merge-point-of-two-joined-linked-lists/input/input00.txt : challenges/find-the-merge-point-of-two-joined-linked-lists/output/output00.txt , challenges/find-the-merge-point-of-two-joined-linked-lists/input/input01.txt : challenges/find-the-merge-point-of-two-joined-linked-lists/output/output01.txt,,,,,,
20,Linked Lists,Easy,challenges/insert-a-node-into-a-sorted-doubly-linked-list/insert-a-node-into-a-sorted-doubly-linked-list.pdf,challenges/insert-a-node-into-a-sorted-doubly-linked-list/input/input00.txt : challenges/insert-a-node-into-a-sorted-doubly-linked-list/output/output00.txt , challenges/insert-a-node-into-a-sorted-doubly-linked-list/input/input01.txt : challenges/insert-a-node-into-a-sorted-doubly-linked-list/output/output01.txt , challenges/insert-a-node-into-a-sorted-doubly-linked-list/input/input07.txt : challenges/insert-a-node-into-a-sorted-doubly-linked-list/output/output07.txt,,,,,
21,Linked Lists,Easy,challenges/reverse-a-doubly-linked-list/reverse-a-doubly-linked-list.pdf,challenges/reverse-a-doubly-linked-list/input/input00.txt : challenges/reverse-a-doubly-linked-list/output/output00.txt , challenges/reverse-a-doubly-linked-list/input/input01.txt : challenges/reverse-a-doubly-linked-list/output/output01.txt , challenges/reverse-a-doubly-linked-list/input/input07.txt : challenges/reverse-a-doubly-linked-list/output/output07.txt,,,,,
22,Trees,Easy,challenges/tree-preorder-traversal/tree-preorder-traversal.pdf,challenges/tree-preorder-traversal/input/input00.txt : challenges/tree-preorder-traversal/output/output00.txt , challenges/tree-preorder-traversal/input/input02.txt : challenges/tree-preorder-traversal/output/output02.txt,,,,,,
23,Trees,Easy,challenges/tree-postorder-traversal/tree-postorder-traversal.pdf,challenges/tree-postorder-traversal/input/input00.txt : challenges/tree-postorder-traversal/output/output00.txt , challenges/tree-postorder-traversal/input/input02.txt : challenges/tree-postorder-traversal/output/output02.txt,,,,,,
24,Trees,Easy,challenges/tree-inorder-traversal/tree-inorder-traversal.pdf,challenges/tree-inorder-traversal/input/input00.txt : challenges/tree-inorder-traversal/output/output00.txt , challenges/tree-inorder-traversal/input/input02.txt : challenges/tree-inorder-traversal/output/output02.txt,,,,,,
25,Trees,Easy,challenges/tree-height-of-a-binary-tree/tree-height-of-a-binary-tree.pdf,challenges/tree-height-of-a-binary-tree/input/input00.txt : challenges/tree-height-of-a-binary-tree/output/output00.txt , challenges/tree-height-of-a-binary-tree/input/input04.txt : challenges/tree-height-of-a-binary-tree/output/output04.txt , challenges/tree-height-of-a-binary-tree/input/input05.txt : challenges/tree-height-of-a-binary-tree/output/output05.txt,,,,,
26,Trees,Easy,challenges/tree-top-view/tree-top-view.pdf,challenges/tree-top-view/input/input00.txt : challenges/tree-top-view/output/output00.txt,,,,,,,
27,Trees,Easy,challenges/tree-level-order-traversal/tree-level-order-traversal.pdf,challenges/tree-level-order-traversal/input/input00.txt : challenges/tree-level-order-traversal/output/output00.txt,,,,,,,
28,Trees,Easy,challenges/binary-search-tree-insertion/binary-search-tree-insertion.pdf,challenges/binary-search-tree-insertion/input/input00.txt : challenges/binary-search-tree-insertion/output/output00.txt,,,,,,,
29,Trees,Medium,challenges/tree-huffman-decoding/tree-huffman-decoding.pdf,challenges/tree-huffman-decoding/input/input02.txt : challenges/tree-huffman-decoding/output/output02.txt , challenges/tree-huffman-decoding/input/input05.txt : challenges/tree-huffman-decoding/output/output05.txt , challenges/tree-huffman-decoding/input/input06.txt : challenges/tree-huffman-decoding/output/output06.txt,,,,,
30,Trees,Easy,challenges/binary-search-tree-lowest-common-ancestor/binary-search-tree-lowest-common-ancestor.pdf,challenges/binary-search-tree-lowest-common-ancestor/input/input00.txt : challenges/binary-search-tree-lowest-common-ancestor/output/output00.txt , challenges/binary-search-tree-lowest-common-ancestor/input/input05.txt : challenges/binary-search-tree-lowest-common-ancestor/output/output05.txt , challenges/binary-search-tree-lowest-common-ancestor/input/input09.txt : challenges/binary-search-tree-lowest-common-ancestor/output/output09.txt,,,,,
31,Trees,Medium,challenges/swap-nodes-algo/swap-nodes-algo.pdf,challenges/swap-nodes-algo/input/input00.txt : challenges/swap-nodes-algo/output/output00.txt , challenges/swap-nodes-algo/input/input02.txt : challenges/swap-nodes-algo/output/output02.txt , challenges/swap-nodes-algo/input/input03.txt : challenges/swap-nodes-algo/output/output03.txt,,,,,
32,Trees,Advanced,challenges/kittys-calculations-on-a-tree/kittys-calculations-on-a-tree.pdf,challenges/kittys-calculations-on-a-tree/input/input00.txt : challenges/kittys-calculations-on-a-tree/output/output00.txt,,,,,,,
33,Trees,Medium,challenges/is-binary-search-tree/is-binary-search-tree.pdf,challenges/is-binary-search-tree/input/input00.txt : challenges/is-binary-search-tree/output/output00.txt,,,,,,,
34,Trees,Hard,challenges/square-ten-tree/square-ten-tree.pdf,challenges/square-ten-tree/input/input64.txt : challenges/square-ten-tree/output/output64.txt,,,,,,,
35,Trees,Hard,challenges/balanced-forest/balanced-forest.pdf,challenges/balanced-forest/input/input00.txt : challenges/balanced-forest/output/output00.txt , challenges/balanced-forest/input/input06.txt : challenges/balanced-forest/output/output06.txt , challenges/balanced-forest/input/input07.txt : challenges/balanced-forest/output/output07.txt,,,,,
36,Trees,Hard,challenges/jenny-subtrees/jenny-subtrees.pdf,challenges/jenny-subtrees/input/input00.txt : challenges/jenny-subtrees/output/output00.txt , challenges/jenny-subtrees/input/input01.txt : challenges/jenny-subtrees/output/output01.txt,,,,,,
37,Trees,Expert,challenges/tree-coordinates/tree-coordinates.pdf,challenges/tree-coordinates/input/input00.txt : challenges/tree-coordinates/output/output00.txt , challenges/tree-coordinates/input/input01.txt : challenges/tree-coordinates/output/output01.txt,,,,,,
38,Trees,Advanced,challenges/array-pairs/array-pairs.pdf,challenges/array-pairs/input/input00.txt : challenges/array-pairs/output/output00.txt,,,,,,,
39,Balanced Trees,Medium,challenges/self-balancing-tree/self-balancing-tree.pdf,challenges/self-balancing-tree/input/input00.txt : challenges/self-balancing-tree/output/output00.txt , challenges/self-balancing-tree/input/input06.txt : challenges/self-balancing-tree/output/output06.txt,,,,,,
40,Balanced Trees,Hard,challenges/array-and-simple-queries/array-and-simple-queries.pdf,challenges/array-and-simple-queries/input/input27.txt : challenges/array-and-simple-queries/output/output27.txt,,,,,,,
41,Balanced Trees,Hard,challenges/median/median.pdf,challenges/median/input/input00.txt : challenges/median/output/output00.txt,,,,,,,
42,Disjoint Set,Hard,challenges/merging-communities/merging-communities.pdf,challenges/merging-communities/input/input00.txt : challenges/merging-communities/output/output00.txt,,,,,,,
43,Heap,Easy,challenges/qheap1/qheap1.pdf,challenges/qheap1/input/input10.txt : challenges/qheap1/output/output10.txt,,,,,,,
44,Stacks,Easy,challenges/maximum-element/maximum-element.pdf,challenges/maximum-element/input/input00.txt : challenges/maximum-element/output/output00.txt,,,,,,,
45,Queues,Medium,challenges/queue-using-two-stacks/queue-using-two-stacks.pdf,challenges/queue-using-two-stacks/input/input00.txt : challenges/queue-using-two-stacks/output/output00.txt,,,,,,,
46,Disjoint Set,Medium,challenges/components-in-graph/components-in-graph.pdf,challenges/components-in-graph/input/input18.txt : challenges/components-in-graph/output/output18.txt,,,,,,,
47,Stacks,Medium,challenges/balanced-brackets/balanced-brackets.pdf,challenges/balanced-brackets/input/input18.txt : challenges/balanced-brackets/output/output18.txt , challenges/balanced-brackets/input/input19.txt : challenges/balanced-brackets/output/output19.txt , challenges/balanced-brackets/input/input20.txt : challenges/balanced-brackets/output/output20.txt,,,,,
48,Queues,Medium,challenges/castle-on-the-grid/castle-on-the-grid.pdf,challenges/castle-on-the-grid/input/input10.txt : challenges/castle-on-the-grid/output/output10.txt , challenges/castle-on-the-grid/input/input12.txt : challenges/castle-on-the-grid/output/output12.txt , challenges/castle-on-the-grid/input/input13.txt : challenges/castle-on-the-grid/output/output13.txt,,,,,
49,Heap,Easy,challenges/jesse-and-cookies/jesse-and-cookies.pdf,challenges/jesse-and-cookies/input/input01.txt : challenges/jesse-and-cookies/output/output01.txt,,,,,,,
50,Disjoint Set,Hard,challenges/kundu-and-tree/kundu-and-tree.pdf,challenges/kundu-and-tree/input/input00.txt : challenges/kundu-and-tree/output/output00.txt,,,,,,,
51,Heap,Hard,challenges/find-the-running-median/find-the-running-median.pdf,challenges/find-the-running-median/input/input00.txt : challenges/find-the-running-median/output/output00.txt,,,,,,,
52,Queues,Medium,challenges/down-to-zero-ii/down-to-zero-ii.pdf,challenges/down-to-zero-ii/input/input00.txt : challenges/down-to-zero-ii/output/output00.txt,,,,,,,
53,Stacks,Easy,challenges/equal-stacks/equal-stacks.pdf,challenges/equal-stacks/input/input00.txt : challenges/equal-stacks/output/output00.txt,,,,,,,
54,Heap,Hard,challenges/minimum-average-waiting-time/minimum-average-waiting-time.pdf,challenges/minimum-average-waiting-time/input/input10.txt : challenges/minimum-average-waiting-time/output/output10.txt , challenges/minimum-average-waiting-time/input/input11.txt : challenges/minimum-average-waiting-time/output/output11.txt,,,,,,
55,Queues,Hard,challenges/truck-tour/truck-tour.pdf,challenges/truck-tour/input/input00.txt : challenges/truck-tour/output/output00.txt,,,,,,,
56,Stacks,Medium,challenges/game-of-two-stacks/game-of-two-stacks.pdf,challenges/game-of-two-stacks/input/input00.txt : challenges/game-of-two-stacks/output/output00.txt,,,,,,,
57,Stacks,Medium,challenges/largest-rectangle/largest-rectangle.pdf,challenges/largest-rectangle/input/input00.txt : challenges/largest-rectangle/output/output00.txt , challenges/largest-rectangle/input/input14.txt : challenges/largest-rectangle/output/output14.txt , challenges/largest-rectangle/input/input15.txt : challenges/largest-rectangle/output/output15.txt,,,,,
58,Queues,Hard,challenges/queries-with-fixed-length/queries-with-fixed-length.pdf,challenges/queries-with-fixed-length/input/input10.txt : challenges/queries-with-fixed-length/output/output10.txt , challenges/queries-with-fixed-length/input/input11.txt : challenges/queries-with-fixed-length/output/output11.txt,,,,,,
59,Stacks,Medium,challenges/simple-text-editor/simple-text-editor.pdf,challenges/simple-text-editor/input/input00.txt : challenges/simple-text-editor/output/output00.txt,,,,,,,
60,Stacks,Hard,challenges/poisonous-plants/poisonous-plants.pdf,challenges/poisonous-plants/input/input00.txt : challenges/poisonous-plants/output/output00.txt , challenges/poisonous-plants/input/input29.txt : challenges/poisonous-plants/output/output29.txt , challenges/poisonous-plants/input/input30.txt : challenges/poisonous-plants/output/output30.txt,,,,,
61,Stacks,Hard,challenges/and-xor-or/and-xor-or.pdf,challenges/and-xor-or/input/input26.txt : challenges/and-xor-or/output/output26.txt,,,,,,,
62,Stacks,Medium,challenges/waiter/waiter.pdf,challenges/waiter/input/input00.txt : challenges/waiter/output/output00.txt , challenges/waiter/input/input01.txt : challenges/waiter/output/output01.txt,,,,,,
63,Trie,Medium,challenges/contacts/contacts.pdf,challenges/contacts/input/input00.txt : challenges/contacts/output/output00.txt,,,,,,,
64,Trie,Hard,challenges/no-prefix-set/no-prefix-set.pdf,challenges/no-prefix-set/input/input21.txt : challenges/no-prefix-set/output/output21.txt , challenges/no-prefix-set/input/input22.txt : challenges/no-prefix-set/output/output22.txt,,,,,,
65,Advanced,Medium,challenges/kindergarten-adventures/kindergarten-adventures.pdf,challenges/kindergarten-adventures/input/input00.txt : challenges/kindergarten-adventures/output/output00.txt , challenges/kindergarten-adventures/input/input01.txt : challenges/kindergarten-adventures/output/output01.txt,,,,,,
66,Advanced,Hard,challenges/cube-summation/cube-summation.pdf,challenges/cube-summation/input/input00.txt : challenges/cube-summation/output/output00.txt,,,,,,,
67,Advanced,Medium,challenges/x-and-his-shots/x-and-his-shots.pdf,challenges/x-and-his-shots/input/input26.txt : challenges/x-and-his-shots/output/output26.txt,,,,,,,
68,Advanced,Hard,challenges/direct-connections/direct-connections.pdf,challenges/direct-connections/input/input00.txt : challenges/direct-connections/output/output00.txt,,,,,,,
69,Advanced,Advanced,challenges/subsequence-weighting/subsequence-weighting.pdf,challenges/subsequence-weighting/input/input00.txt : challenges/subsequence-weighting/output/output00.txt,,,,,,,
70,Advanced,Medium,challenges/jim-and-the-skyscrapers/jim-and-the-skyscrapers.pdf,challenges/jim-and-the-skyscrapers/input/input00.txt : challenges/jim-and-the-skyscrapers/output/output00.txt , challenges/jim-and-the-skyscrapers/input/input01.txt : challenges/jim-and-the-skyscrapers/output/output01.txt,,,,,,
71,Advanced,Hard,challenges/palindromic-subsets/palindromic-subsets.pdf,challenges/palindromic-subsets/input/input40.txt : challenges/palindromic-subsets/output/output40.txt,,,,,,,
72,Advanced,Expert,challenges/counting-on-a-tree/counting-on-a-tree.pdf,challenges/counting-on-a-tree/input/input00.txt : challenges/counting-on-a-tree/output/output00.txt,,,,,,,
73,Advanced,Hard,challenges/polynomial-division/polynomial-division.pdf,challenges/polynomial-division/input/input00.txt : challenges/polynomial-division/output/output00.txt,,,,,,,
74,Advanced,Hard,challenges/costly-intervals/costly-intervals.pdf,challenges/costly-intervals/input/input00.txt : challenges/costly-intervals/output/output00.txt,,,,,,,
75,Advanced,Hard,challenges/the-strange-function/the-strange-function.pdf,challenges/the-strange-function/input/input00.txt : challenges/the-strange-function/output/output00.txt , challenges/the-strange-function/input/input01.txt : challenges/the-strange-function/output/output01.txt,,,,,,
76,Advanced,Advanced,challenges/self-driving-bus/self-driving-bus.pdf,,,,,,,,
77,Advanced,Advanced,challenges/unique-colors/unique-colors.pdf,challenges/unique-colors/input/input00.txt : challenges/unique-colors/output/output00.txt,,,,,,,
78,Advanced,Expert,challenges/pair-sums/pair-sums.pdf,challenges/pair-sums/input/input00.txt : challenges/pair-sums/output/output00.txt , challenges/pair-sums/input/input01.txt : challenges/pair-sums/output/output01.txt,,,,,,
79,Advanced,Advanced,challenges/functional-palindromes/functional-palindromes.pdf,challenges/functional-palindromes/input/input00.txt : challenges/functional-palindromes/output/output00.txt,,,,,,,
80,Advanced,Hard,challenges/lazy-white-falcon/lazy-white-falcon.pdf,challenges/lazy-white-falcon/input/input10.txt : challenges/lazy-white-falcon/output/output10.txt,,,,,,,
81,Advanced,Expert,challenges/ticket-to-ride/ticket-to-ride.pdf,challenges/ticket-to-ride/input/input00.txt : challenges/ticket-to-ride/output/output00.txt,,,,,,,
82,Advanced,Hard,challenges/heavy-light-white-falcon/heavy-light-white-falcon.pdf,,,,,,,,
83,Advanced,Advanced,challenges/little-alexey-and-sum-of-maximums/little-alexey-and-sum-of-maximums.pdf,challenges/little-alexey-and-sum-of-maximums/input/input00.txt : challenges/little-alexey-and-sum-of-maximums/output/output00.txt,,,,,,,
84,Advanced,Expert,challenges/number-game-on-a-tree/number-game-on-a-tree.pdf,challenges/number-game-on-a-tree/input/input00.txt : challenges/number-game-on-a-tree/output/output00.txt,,,,,,,
85,Advanced,Hard,challenges/heavy-light-2-white-falcon/heavy-light-2-white-falcon.pdf,challenges/heavy-light-2-white-falcon/input/input10.txt : challenges/heavy-light-2-white-falcon/output/output10.txt,,,,,,,
86,Advanced,Advanced,challenges/library-query/library-query.pdf,challenges/library-query/input/input04.txt : challenges/library-query/output/output04.txt,,,,,,,
87,Advanced,Advanced,challenges/starfleet/starfleet.pdf,challenges/starfleet/input/input00.txt : challenges/starfleet/output/output00.txt,,,,,,,
88,Advanced,Expert,challenges/almost-equal-advanced/almost-equal-advanced.pdf,challenges/almost-equal-advanced/input/input00.txt : challenges/almost-equal-advanced/output/output00.txt,,,,,,,
89,Advanced,Expert,challenges/almost-sorted-interval/almost-sorted-interval.pdf,challenges/almost-sorted-interval/input/input00.txt : challenges/almost-sorted-interval/output/output00.txt,,,,,,,
90,Advanced,Hard,challenges/burger-happiness/burger-happiness.pdf,challenges/burger-happiness/input/input00.txt : challenges/burger-happiness/output/output00.txt , challenges/burger-happiness/input/input01.txt : challenges/burger-happiness/output/output01.txt , challenges/burger-happiness/input/input02.txt : challenges/burger-happiness/output/output02.txt,,,,,
91,Advanced,Hard,challenges/roy-and-alpha-beta-trees/roy-and-alpha-beta-trees.pdf,challenges/roy-and-alpha-beta-trees/input/input15.txt : challenges/roy-and-alpha-beta-trees/output/output15.txt,,,,,,,
92,Advanced,Hard,challenges/coloring-tree/coloring-tree.pdf,challenges/coloring-tree/input/input00.txt : challenges/coloring-tree/output/output00.txt,,,,,,,
93,Advanced,Hard,challenges/recalling-early-days-gp-with-trees/recalling-early-days-gp-with-trees.pdf,challenges/recalling-early-days-gp-with-trees/input/input00.txt : challenges/recalling-early-days-gp-with-trees/output/output00.txt , challenges/recalling-early-days-gp-with-trees/input/input14.txt : challenges/recalling-early-days-gp-with-trees/output/output14.txt,,,,,,
94,Advanced,Advanced,challenges/swaps-and-sum/swaps-and-sum.pdf,challenges/swaps-and-sum/input/input00.txt : challenges/swaps-and-sum/output/output00.txt,,,,,,,
95,Advanced,Advanced,challenges/arithmetic-progressions/arithmetic-progressions.pdf,challenges/arithmetic-progressions/input/input00.txt : challenges/arithmetic-progressions/output/output00.txt,,,,,,,
96,Advanced,Advanced,challenges/coolguy-and-two-subsequences/coolguy-and-two-subsequences.pdf,challenges/coolguy-and-two-subsequences/input/input00.txt : challenges/coolguy-and-two-subsequences/output/output00.txt,,,,,,,
97,Advanced,Hard,challenges/white-falcon-and-tree/white-falcon-and-tree.pdf,challenges/white-falcon-and-tree/input/input20.txt : challenges/white-falcon-and-tree/output/output20.txt,,,,,,,
98,Advanced,Advanced,challenges/subtrees-and-paths/subtrees-and-paths.pdf,challenges/subtrees-and-paths/input/input00.txt : challenges/subtrees-and-paths/output/output00.txt , challenges/subtrees-and-paths/input/input01.txt : challenges/subtrees-and-paths/output/output01.txt,,,,,,
99,Advanced,Advanced,challenges/triplets/triplets.pdf,challenges/triplets/input/input00.txt : challenges/triplets/output/output00.txt , challenges/triplets/input/input01.txt : challenges/triplets/output/output01.txt,,,,,,
100,Advanced,Expert,challenges/beautiful-segments/beautiful-segments.pdf,challenges/beautiful-segments/input/input24.txt : challenges/beautiful-segments/output/output24.txt,,,,,,,
101,Advanced,Expert,challenges/ab0/ab0.pdf,challenges/ab0/input/input00.txt : challenges/ab0/output/output00.txt,,,,,,,
102,Advanced,Advanced,challenges/bst-maintenance/bst-maintenance.pdf,challenges/bst-maintenance/input/input20.txt : challenges/bst-maintenance/output/output20.txt,,,,,,,
103,Advanced,Medium,challenges/find-maximum-index-product/find-maximum-index-product.pdf,challenges/find-maximum-index-product/input/input02.txt : challenges/find-maximum-index-product/output/output02.txt,,,,,,,
104,Advanced,Advanced,challenges/taxicab-drivers-problem/taxicab-drivers-problem.pdf,challenges/taxicab-drivers-problem/input/input00.txt : challenges/taxicab-drivers-problem/output/output00.txt,,,,,,,
105,Advanced,Advanced,challenges/jagia-playing-with-numbers/jagia-playing-with-numbers.pdf,challenges/jagia-playing-with-numbers/input/input00.txt : challenges/jagia-playing-with-numbers/output/output00.txt,,,,,,,
106,Advanced,Hard,challenges/dynamic-summation/dynamic-summation.pdf,challenges/dynamic-summation/input/input00.txt : challenges/dynamic-summation/output/output00.txt,,,,,,,
107,Advanced,Hard,challenges/weird-queries/weird-queries.pdf,challenges/weird-queries/input/input16.txt : challenges/weird-queries/output/output16.txt,,,,,,,
108,Advanced,Hard,challenges/rooted-tree/rooted-tree.pdf,challenges/rooted-tree/input/input15.txt : challenges/rooted-tree/output/output15.txt,,,,,,,
109,Advanced,Advanced,challenges/helix/helix.pdf,challenges/helix/input/input00.txt : challenges/helix/output/output00.txt,,,,,,,
110,Advanced,Hard,challenges/net-admin/net-admin.pdf,challenges/net-admin/input/input00.txt : challenges/net-admin/output/output00.txt,,,,,,,
111,Advanced,Expert,challenges/easy-addition/easy-addition.pdf,challenges/easy-addition/input/input00.txt : challenges/easy-addition/output/output00.txt,,,,,,,
112,Advanced,Expert,challenges/find-the-permutation/find-the-permutation.pdf,challenges/find-the-permutation/input/input00.txt : challenges/find-the-permutation/output/output00.txt,,,,,,,
113,Advanced,Advanced,challenges/company-retreat/company-retreat.pdf,challenges/company-retreat/input/input00.txt : challenges/company-retreat/output/output00.txt,,,,,,,
114,Advanced,Expert,challenges/box-operations/box-operations.pdf,challenges/box-operations/input/input00.txt : challenges/box-operations/output/output00.txt,,,,,,,
115,Advanced,Expert,challenges/max-transform/max-transform.pdf,challenges/max-transform/input/input00.txt : challenges/max-transform/output/output00.txt,,,,,,,
116,Advanced,Hard,challenges/array-and-queries-1/array-and-queries-1.pdf,challenges/array-and-queries-1/input/input00.txt : challenges/array-and-queries-1/output/output00.txt , challenges/array-and-queries-1/input/input01.txt : challenges/array-and-queries-1/output/output01.txt,,,,,,
117,Warmup,Easy,challenges/solve-me-first/solve-me-first.pdf,challenges/solve-me-first/input/input00.txt : challenges/solve-me-first/output/output00.txt , challenges/solve-me-first/input/input01.txt : challenges/solve-me-first/output/output01.txt,,,,,,
118,Warmup,Easy,challenges/simple-array-sum/simple-array-sum.pdf,challenges/simple-array-sum/input/input00.txt : challenges/simple-array-sum/output/output00.txt,,,,,,,
119,Warmup,Easy,challenges/compare-the-triplets/compare-the-triplets.pdf,challenges/compare-the-triplets/input/input00.txt : challenges/compare-the-triplets/output/output00.txt , challenges/compare-the-triplets/input/input07.txt : challenges/compare-the-triplets/output/output07.txt,,,,,,
120,Warmup,Easy,challenges/a-very-big-sum/a-very-big-sum.pdf,challenges/a-very-big-sum/input/input00.txt : challenges/a-very-big-sum/output/output00.txt,,,,,,,
121,Warmup,Easy,challenges/diagonal-difference/diagonal-difference.pdf,challenges/diagonal-difference/input/input00.txt : challenges/diagonal-difference/output/output00.txt,,,,,,,
